Date,Discharge,flood runoff,daily runoff,weekly runoff,Flood
1-Jan-98,853,0,0.28,,0
2-Jan-98,853,0,0.28,,0
3-Jan-98,689,0,0.23,,0
4-Jan-98,689,0,0.23,,0
5-Jan-98,0,0,0,,0
6-Jan-98,1498,0,0.5,,0
7-Jan-98,1597,0,0.53,2.06,0
8-Jan-98,1597,0,0.53,2.3,0
9-Jan-98,1423,0,0.47,2.49,0
10-Jan-98,254,0,0.08,2.35,0
11-Jan-98,0,0,0,2.12,0
12-Jan-98,0,0,0,2.12,0
13-Jan-98,0,0,0,1.62,0
14-Jan-98,0,0,0,1.09,0
15-Jan-98,0,0,0,0.56,0
16-Jan-98,798,0,0.27,0.35,0
17-Jan-98,256,0,0.09,0.35,0
18-Jan-98,1532,0,0.51,0.86,0
19-Jan-98,1711,0,0.57,1.43,0
20-Jan-98,1491,0,0.5,1.93,0
21-Jan-98,1465,0,0.49,2.41,0
22-Jan-98,1797,0,0.6,3.01,0
23-Jan-98,1188,0,0.4,3.14,0
24-Jan-98,1213,0,0.4,3.46,0
25-Jan-98,931,0,0.31,3.26,0
26-Jan-98,211,0,0.07,2.76,0
27-Jan-98,557,0,0.19,2.45,0
28-Jan-98,462,0,0.15,2.12,0
29-Jan-98,1363,0,0.45,1.97,0
30-Jan-98,603,0,0.2,1.78,0
31-Jan-98,49,0,0.02,1.39,0
1-Feb-98,0,0,0,1.08,0
2-Feb-98,0,0,0,1.01,0
3-Feb-98,0,0,0,0.82,0
4-Feb-98,0,0,0,0.67,0
5-Feb-98,0,0,0,0.22,0
6-Feb-98,0,0,0,0.02,0
7-Feb-98,0,0,0,0,0
8-Feb-98,0,0,0,0,0
9-Feb-98,0,0,0,0,0
10-Feb-98,0,0,0,0,0
11-Feb-98,0,0,0,0,0
12-Feb-98,0,0,0,0,0
13-Feb-98,0,0,0,0,0
14-Feb-98,0,0,0,0,0
15-Feb-98,254,0,0.08,0.08,0
16-Feb-98,0,0,0,0.08,0
17-Feb-98,0,0,0,0.08,0
18-Feb-98,0,0,0,0.08,0
19-Feb-98,0,0,0,0.08,0
20-Feb-98,0,0,0,0.08,0
21-Feb-98,0,0,0,0.08,0
22-Feb-98,209,0,0.07,0.07,0
23-Feb-98,316,0,0.11,0.17,0
24-Feb-98,316,0,0.11,0.28,0
25-Feb-98,34,0,0.01,0.29,0
26-Feb-98,0,0,0,0.29,0
27-Feb-98,0,0,0,0.29,0
28-Feb-98,0,0,0,0.29,0
1-Mar-98,67,0,0.02,0.24,0
2-Mar-98,926,0,0.31,0.45,0
3-Mar-98,1822,0,0.61,0.95,0
4-Mar-98,1297,0,0.43,1.37,0
5-Mar-98,1312,0,0.44,1.81,0
6-Mar-98,1611,0,0.54,2.34,0
7-Mar-98,1872,0,0.62,2.97,0
8-Mar-98,2429,0,0.81,3.75,0
9-Mar-98,1600,0,0.53,3.98,0
10-Mar-98,1500,0,0.5,3.87,0
11-Mar-98,235,0,0.08,3.52,0
12-Mar-98,0,0,0,3.08,0
13-Mar-98,122,0,0.04,2.58,0
14-Mar-98,0,0,0,1.96,0
15-Mar-98,589,0,0.2,1.35,0
16-Mar-98,1493,0,0.5,1.31,0
17-Mar-98,2648,0,0.88,1.69,0
18-Mar-98,1145,0,0.38,2,0
19-Mar-98,1719,0,0.57,2.57,0
20-Mar-98,1657,0,0.55,3.08,0
21-Mar-98,914,0,0.3,3.38,0
22-Mar-98,1965,0,0.65,3.84,0
23-Mar-98,1381,0,0.46,3.81,0
24-Mar-98,883,0,0.29,3.22,0
25-Mar-98,0,0,0,2.84,0
26-Mar-98,0,0,0,2.26,0
27-Mar-98,0,0,0,1.71,0
28-Mar-98,0,0,0,1.41,0
29-Mar-98,76,0,0.03,0.78,0
30-Mar-98,858,0,0.29,0.61,0
31-Mar-98,0,0,0,0.31,0
1-Apr-98,269,0,0.09,0.4,0
2-Apr-98,0,0,0,0.4,0
3-Apr-98,205,0,0.07,0.47,0
4-Apr-98,0,0,0,0.47,0
5-Apr-98,0,0,0,0.44,0
6-Apr-98,0,0,0,0.16,0
7-Apr-98,0,0,0,0.16,0
8-Apr-98,234,0,0.08,0.15,0
9-Apr-98,896,0,0.3,0.44,0
10-Apr-98,896,0,0.3,0.67,0
11-Apr-98,560,0,0.19,0.86,0
12-Apr-98,895,0,0.3,1.16,0
13-Apr-98,0,0,0,1.16,0
