Date,Discharge
2021-01-01,2451.4976
2021-01-02,2453.5508
2021-01-03,2454.6902
2021-01-04,2454.448
2021-01-05,2458.3496
2021-01-06,2459.5166
2021-01-07,2462.1519
2021-01-08,2458.4758
2021-01-09,2459.305
2021-01-10,2458.7944
2021-01-11,2456.5508
2021-01-12,2458.1853
2021-01-13,2456.9124
2021-01-14,2457.0322
2021-01-15,2450.866
2021-01-16,2449.3289
2021-01-17,2446.6704
2021-01-18,2442.586
2021-01-19,2442.7644
2021-01-20,2440.4866
2021-01-21,2440.1052
2021-01-22,2433.978
2021-01-23,2433.0398
2021-01-24,2431.5427
2021-01-25,2429.1663
2021-01-26,2431.5671
2021-01-27,2431.9778
2021-01-28,2434.6873
2021-01-29,2431.976
2021-01-30,2434.6926
2021-01-31,2436.9934
2021-02-01,2438.4573
2021-02-02,2444.6382
2021-02-03,2448.666
2021-02-04,2454.7317
2021-02-05,2455.024
2021-02-06,2460.309
2021-02-07,2464.6733
2021-02-08,2467.6392
2021-02-09,2474.7202
2021-02-10,2479.023
2021-02-11,2484.7317
2021-02-12,2484.0479
2021-02-13,2487.7666
2021-02-14,2490.0203
2021-02-15,2490.393
2021-02-16,2494.4722
2021-02-17,2495.4507
2021-02-18,2497.608
2021-02-19,2493.2454
2021-02-20,2493.2615
2021-02-21,2491.892
2021-02-22,2488.821
2021-02-23,2489.7302
2021-02-24,2487.8977
2021-02-25,2487.6763
2021-02-26,2481.4272
2021-02-27,2480.0952
2021-02-28,2477.9438
2021-03-01,2474.6682
2021-03-02,2475.9446
2021-03-03,2475.0266
2021-03-04,2476.2278
2021-03-05,2471.8547
2021-03-06,2472.7825
2021-03-07,2473.1958
2021-03-08,2472.7014
2021-03-09,2476.8806
2021-03-10,2478.89
2021-03-11,2482.9446
2021-03-12,2481.2573
2021-03-13,2484.6138
2021-03-14,2487.1187
2021-03-15,2488.309
2021-03-16,2493.7104
2021-03-17,2496.4382
2021-03-18,2500.6826
2021-03-19,2498.6477
2021-03-20,2501.129
2021-03-21,2502.2568
2021-03-22,2501.6104
2021-03-23,2504.7722
2021-03-24,2504.9275
2021-03-25,2506.348
2021-03-26,2501.3271
2021-03-27,2500.755
2021-03-28,2498.8606
2021-03-29,2495.321
2021-03-30,2495.8127
2021-03-31,2493.61
2021-04-01,2493.0642
2021-04-02,2486.5364
2021-04-03,2484.9722
2021-04-04,2482.6392
2021-04-05,2479.2383
2021-04-06,2480.452
2021-04-07,2479.5425
2021-04-08,2480.8318
2021-04-09,2476.6365
2021-04-10,2477.8416
2021-04-11,2478.6418
2021-04-12,2478.6526
2021-04-13,2483.4636
2021-04-14,2486.2378
2021-04-15,2491.1956
2021-04-16,2490.5522
2021-04-17,2495.0945
2021-04-18,2498.9246
2021-04-19,2501.5762
