Date,weekly runoff
2021-01-01,4.8036704
2021-01-02,4.804089
2021-01-03,4.8051844
2021-01-04,4.8062873
2021-01-05,4.8071437
2021-01-06,4.8091187
2021-01-07,4.8097444
2021-01-08,4.811394
2021-01-09,4.8114443
2021-01-10,4.811036
2021-01-11,4.809595
2021-01-12,4.8069954
2021-01-13,4.804756
2021-01-14,4.8005886
2021-01-15,4.797063
2021-01-16,4.7917647
2021-01-17,4.786051
2021-01-18,4.7795606
2021-01-19,4.772376
2021-01-20,4.7662106
2021-01-21,4.7589498
2021-01-22,4.753314
2021-01-23,4.7470093
2021-01-24,4.7414794
2021-01-25,4.7364144
2021-01-26,4.7319093
2021-01-27,4.7296524
2021-01-28,4.7274656
2021-01-29,4.7279687
2021-01-30,4.7287354
2021-01-31,4.7310452
2021-02-01,4.734401
2021-02-02,4.7386894
2021-02-03,4.745378
2021-02-04,4.7520585
2021-02-05,4.761124
2021-02-06,4.769924
2021-02-07,4.77953
2021-02-08,4.7892528
2021-02-09,4.7988143
2021-02-10,4.8095455
2021-02-11,4.8189373
2021-02-12,4.829315
2021-02-13,4.8380027
2021-02-14,4.8460836
2021-02-15,4.852921
2021-02-16,4.8583264
2021-02-17,4.863754
2021-02-18,4.8668513
2021-02-19,4.870126
2021-02-20,4.871106
2021-02-21,4.8710938
2021-02-22,4.869681
2021-02-23,4.8669086
2021-02-24,4.864458
2021-02-25,4.86019
2021-02-26,4.856811
2021-02-27,4.8520217
2021-02-28,4.847271
2021-03-01,4.842264
2021-03-02,4.837121
2021-03-03,4.833563
2021-03-04,4.829453
2021-03-05,4.8274603
2021-03-06,4.825214
2021-03-07,4.824054
2021-03-08,4.8235474
2021-03-09,4.823648
2021-03-10,4.82589
2021-03-11,4.827935
2021-03-12,4.832242
2021-03-13,4.8362236
2021-03-14,4.8410115
2021-03-15,4.845973
2021-03-16,4.8508797
2021-03-17,4.8571057
2021-03-18,4.86218
2021-03-19,4.8684597
2021-03-20,4.8732915
2021-03-21,4.8777766
2021-03-22,4.88129
2021-03-23,4.8836474
2021-03-24,4.886304
2021-03-25,4.8869023
2021-03-26,4.887943
2021-03-27,4.8869414
2021-03-28,4.885188
2021-03-29,4.8822603
2021-03-30,4.8781853
2021-03-31,4.874629
2021-04-01,4.8694415
2021-04-02,4.8653164
2021-04-03,4.8599467
2021-04-04,4.8547735
2021-04-05,4.8494983
2021-04-06,4.8442397
2021-04-07,4.8407187
2021-04-08,4.836803
2021-04-09,4.8351645
2021-04-10,4.8334384
2021-04-11,4.832971
2021-04-12,4.833335
2021-04-13,4.8344893
2021-04-14,4.8379736
2021-04-15,4.8414507
2021-04-16,4.8473783
2021-04-17,4.853167
2021-04-18,4.8599415
2021-04-19,4.8670588
2021-04-20,4.8742766
2021-04-21,4.882952
2021-04-22,4.890594
2021-04-23,4.8995357
2021-04-24,4.907098
2021-04-25,4.914355
2021-04-26,4.920654
2021-04-27,4.9257817
2021-04-28,4.9311666
2021-04-29,4.9344263
2021-04-30,4.938038
2021-05-01,4.9395
2021-05-02,4.940087
2021-05-03,4.939369
2021-05-04,4.937371
2021-05-05,4.935763
2021-05-06,4.9324045
2021-05-07,4.930008
2021-05-08,4.9262896
2021-05-09,4.9227223
2021-05-10,4.919043
2021-05-11,4.9154115
2021-05-12,4.9135933
2021-05-13,4.9115033
2021-05-14,4.9118643
2021-05-15,4.912358
2021-05-16,4.914379
2021-05-17,4.917544
2021-05-18,4.921851
2021-05-19,4.928873
2021-05-20,4.936299
2021-05-21,4.9466033
2021-05-22,4.957204
2021-05-23,4.9692225
2021-05-24,4.982002
2021-05-25,4.9952755
2021-05-26,5.010363
2021-05-27,5.0247264
2021-05-28,5.040641
2021-05-29,5.055363
2021-05-30,5.069891
2021-05-31,5.083491
2021-06-01,5.0958667
2021-06-02,5.1083574
2021-06-03,5.1184926
2021-06-04,5.128663
2021-06-05,5.1362824
2021-06-06,5.1425505
2021-06-07,5.146966
2021-06-08,5.1494927
2021-06-09,5.151755
2021-06-10,5.151574
2021-06-11,5.1516423
2021-06-12,5.1496673
2021-06-13,5.14713
2021-06-14,5.1437902
2021-06-15,5.139845
2021-06-16,5.1371126
2021-06-17,5.133572
2021-06-18,5.132023
2021-06-19,5.130233
2021-06-20,5.1296906
2021-06-21,5.1301136
2021-06-22,5.1316032
2021-06-23,5.135836
2021-06-24,5.140605
2021-06-25,5.148483
2021-06-26,5.156982
2021-06-27,5.1673083
2021-06-28,5.1788797
2021-06-29,5.191492
2021-06-30,5.2065167
2021-07-01,5.2214503
2021-07-02,5.2385917
2021-07-03,5.2552037
2021-07-04,5.2722793
2021-07-05,5.289065
2021-07-06,5.3052325
2021-07-07,5.322078
2021-07-08,5.337081
2021-07-09,5.352573
2021-07-10,5.3659053
2021-07-11,5.378213
2021-07-12,5.388929
2021-07-13,5.397957
2021-07-14,5.406861
2021-07-15,5.413414
2021-07-16,5.4202657
2021-07-17,5.4250937
2021-07-18,5.429359
2021-07-19,5.432814
2021-07-20,5.4356623
2021-07-21,5.4397407
2021-07-22,5.4430585
2021-07-23,5.4484572
2021-07-24,5.453756
2021-07-25,5.4605026
2021-07-26,5.468479
2021-07-27,5.477854
2021-07-28,5.4903703
2021-07-29,5.503885
2021-07-30,5.5210285
2021-07-31,5.539361
2021-08-01,5.560125
2021-08-02,5.582758
2021-08-03,5.607058
2021-08-04,5.6343813
2021-08-05,5.662185
2021-08-06,5.6927066
2021-08-07,5.7231236
2021-08-08,5.7543206
2021-08-09,5.7854133
2021-08-10,5.815919
2021-08-11,5.8469625
2021-08-12,5.87583
2021-08-13,5.9046493
2021-08-14,5.9305573
2021-08-15,5.954463
2021-08-16,5.9755764
2021-08-17,5.9935765
2021-08-18,6.00981
2021-08-19,6.0218453
2021-08-20,6.0321417
2021-08-21,6.0382094
2021-08-22,6.0413647
2021-08-23,6.041247
2021-08-24,6.0379753
2021-08-25,6.0333385
2021-08-26,6.0253367
2021-08-27,6.0168376
2021-08-28,6.005727
2021-08-29,5.993658
2021-08-30,5.9805546
2021-08-31,5.966763
2021-09-01,5.95424
2021-09-02,5.941082
2021-09-03,5.930189
2021-09-04,5.9194093
2021-09-05,5.9102893
2021-09-06,5.902586
2021-09-07,5.8964186
2021-09-08,5.893464
2021-09-09,5.8914976
2021-09-10,5.89306
2021-09-11,5.895617
2021-09-12,5.90032
2021-09-13,5.9065237
2021-09-14,5.913955
2021-09-15,5.923915
2021-09-16,5.933829
2021-09-17,5.9459286
2021-09-18,5.9574122
2021-09-19,5.9692135
2021-09-20,5.9805293
2021-09-21,5.990986
2021-09-22,6.0018454
2021-09-23,6.0105586
2021-09-24,6.019438
2021-09-25,6.0258207
2021-09-26,6.0308347
2021-09-27,6.0339103
2021-09-28,6.03495
2021-09-29,6.0355186
2021-09-30,6.033391
2021-10-01,6.0312123
2021-10-02,6.0266576
2021-10-03,6.0211754
2021-10-04,6.0145054
2021-10-05,6.0068264
2021-10-06,5.9999475
2021-10-07,5.9918423
2021-10-08,5.98531
2021-10-09,5.9781237
2021-10-10,5.971779
2021-10-11,5.9660044
2021-10-12,5.960914
2021-10-13,5.958198
2021-10-14,5.955664
2021-10-15,5.9558992
2021-10-16,5.9564285
2021-10-17,5.9584703
2021-10-18,5.96145
2021-10-19,5.96517
2021-10-20,5.971002
2021-10-21,5.976442
2021-10-22,5.9837785
2021-10-23,5.990261
2021-10-24,5.9968615
2021-10-25,6.0028005
2021-10-26,6.0077133
2021-10-27,6.012856
2021-10-28,6.015657
2021-10-29,6.0183926
2021-10-30,6.018349
2021-10-31,6.01659
2021-11-01,6.012471
2021-11-02,6.0058136
2021-11-03,5.998093
2021-11-04,5.986992
2021-11-05,5.975065
2021-11-06,5.959898
2021-11-07,5.942859
2021-11-08,5.923611
2021-11-09,5.9022746
2021-11-10,5.880609
2021-11-11,5.8565583
2021-11-12,5.83291
2021-11-13,5.807443
2021-11-14,5.7816825
2021-11-15,5.755405
2021-11-16,5.7287955
2021-11-17,5.7036357
2021-11-18,5.6778426
2021-11-19,5.6541343
2021-11-20,5.6301794
2021-11-21,5.607355
2021-11-22,5.5852604
2021-11-23,5.563876
2021-11-24,5.544761
2021-11-25,5.5255995
2021-11-26,5.5088696
2021-11-27,5.4920073
2021-11-28,5.4761643
2021-11-29,5.4607315
2021-11-30,5.4455047
2021-12-01,5.431886
2021-12-02,5.417435
2021-12-03,5.40454
2021-12-04,5.3905835
2021-12-05,5.3767037
2021-12-06,5.3623137
2021-12-07,5.347268
2021-12-08,5.3330603
2021-12-09,5.31737
2021-12-10,5.302731
2021-12-11,5.286691
2021-12-12,5.2705646
2021-12-13,5.2539487
2021-12-14,5.2368836
2021-12-15,5.2210393
2021-12-16,5.204263
2021-12-17,5.1892366
2021-12-18,5.173632
2021-12-19,5.15886
2021-12-20,5.144587
2021-12-21,5.130883
2021-12-22,5.11942
2021-12-23,5.108006
2021-12-24,5.099254
2021-12-25,5.0907335
2021-12-26,5.083727
