Date,Discharge
2019-01-01,2188.1511
2019-01-02,2180.8796
2019-01-03,2183.6843
2019-01-04,2175.6062
2019-01-05,2172.4949
2019-01-06,2177.771
2019-01-07,2173.4092
2019-01-08,2181.2502
2019-01-09,2175.2275
2019-01-10,2178.3992
2019-01-11,2169.8694
2019-01-12,2165.5776
2019-01-13,2169.0579
2019-01-14,2162.4185
2019-01-15,2167.6484
2019-01-16,2158.8394
2019-01-17,2159.2122
2019-01-18,2148.0322
2019-01-19,2141.3923
2019-01-20,2142.9695
2019-01-21,2134.996
2019-01-22,2139.5647
2019-01-23,2130.8447
2019-01-24,2132.108
2019-01-25,2122.6396
2019-01-26,2118.5242
2019-01-27,2123.3977
2019-01-28,2119.4238
2019-01-29,2128.6
2019-01-30,2124.9763
2019-01-31,2131.685
2019-02-01,2127.8584
2019-02-02,2129.4158
2019-02-03,2139.8254
2019-02-04,2141.0833
2019-02-05,2155.0266
2019-02-06,2155.5574
2019-02-07,2165.6775
2019-02-08,2164.4104
2019-02-09,2167.5933
2019-02-10,2178.6409
2019-02-11,2179.527
2019-02-12,2192.0996
2019-02-13,2190.303
2019-02-14,2197.2134
2019-02-15,2191.9578
2019-02-16,2190.504
2019-02-17,2196.419
2019-02-18,2191.8481
2019-02-19,2198.8218
2019-02-20,2191.4749
2019-02-21,2193.0745
2019-02-22,2182.933
2019-02-23,2177.1921
2019-02-24,2179.5757
2019-02-25,2172.3628
2019-02-26,2177.6904
2019-02-27,2169.7688
2019-02-28,2171.9067
2019-03-01,2163.4219
2019-03-02,2160.4246
2019-03-03,2166.5706
2019-03-04,2164.0364
2019-03-05,2174.8247
2019-03-06,2172.9824
2019-03-07,2181.631
2019-03-08,2179.883
2019-03-09,2183.6316
2019-03-10,2196.309
2019-03-11,2199.8704
2019-03-12,2216.1045
2019-03-13,2218.8604
2019-03-14,2231.0828
2019-03-15,2231.7344
2019-03-16,2236.591
2019-03-17,2249.0063
2019-03-18,2250.8943
2019-03-19,2264.0457
2019-03-20,2262.3538
2019-03-21,2268.85
2019-03-22,2262.6245
2019-03-23,2259.6177
2019-03-24,2263.38
2019-03-25,2256.0505
2019-03-26,2259.668
2019-03-27,2248.3867
2019-03-28,2245.5068
2019-03-29,2230.3875
2019-03-30,2219.228
2019-03-31,2215.8232
2019-04-01,2202.5327
2019-04-02,2201.5845
2019-04-03,2187.2866
2019-04-04,2183.0522
2019-04-05,2168.3066
2019-04-06,2159.2698
2019-04-07,2159.7065
2019-04-08,2151.8992
2019-04-09,2157.9502
2019-04-10,2151.9988
2019-04-11,2157.2495
2019-04-12,2152.8848
2019-04-13,2154.8542
2019-04-14,2166.6316
2019-04-15,2170.1968
2019-04-16,2187.346
2019-04-17,2191.9175
2019-04-18,2206.8284
2019-04-19,2210.996
2019-04-20,2220.1345
2019-04-21,2237.5193
2019-04-22,2244.9744
2019-04-23,2264.188
2019-04-24,2268.941
2019-04-25,2282.146
2019-04-26,2282.7698
2019-04-27,2286.6277
2019-04-28,2297.1472
2019-04-29,2296.349
2019-04-30,2306.1592
2019-05-01,2300.6304
2019-05-02,2302.9734
2019-05-03,2292.4712
2019-05-04,2285.2646
2019-05-05,2285.1062
2019-05-06,2274.3328
2019-05-07,2275.1675
2019-05-08,2261.9346
2019-05-09,2258.0803
2019-05-10,2243.082
2019-05-11,2233.2275
2019-05-12,2232.3652
2019-05-13,2222.8726
2019-05-14,2226.9585
2019-05-15,2218.8757
2019-05-16,2221.947
2019-05-17,2215.475
2019-05-18,2215.5278
2019-05-19,2225.6943
2019-05-20,2228.0608
2019-05-21,2244.521
2019-05-22,2248.9985
2019-05-23,2264.4805
2019-05-24,2269.939
2019-05-25,2281.1245
2019-05-26,2301.3308
2019-05-27,2312.3816
2019-05-28,2335.9448
2019-05-29,2345.7642
2019-05-30,2364.6968
2019-05-31,2371.6384
2019-06-01,2382.319
2019-06-02,2400.0686
2019-06-03,2406.8018
2019-06-04,2424.3298
2019-06-05,2426.5881
2019-06-06,2436.668
