Date,weekly runoff
2019-01-01,4.035864
2019-01-02,4.0237246
2019-01-03,4.0146976
2019-01-04,4.006456
2019-01-05,3.9996297
2019-01-06,3.993961
2019-01-07,3.9888527
2019-01-08,3.9845245
2019-01-09,3.9796293
2019-01-10,3.9760787
2019-01-11,3.9715137
2019-01-12,3.966593
2019-01-13,3.9611533
2019-01-14,3.9547498
2019-01-15,3.9478085
2019-01-16,3.9392333
2019-01-17,3.9312246
2019-01-18,3.9217377
2019-01-19,3.911762
2019-01-20,3.9014673
2019-01-21,3.8907344
2019-01-22,3.8802948
2019-01-23,3.8693278
2019-01-24,3.8602688
2019-01-25,3.8512583
2019-01-26,3.8434165
2019-01-27,3.8369827
2019-01-28,3.831844
2019-01-29,3.8286743
2019-01-30,3.826531
2019-01-31,3.8276691
2019-02-01,3.829996
2019-02-02,3.8343508
2019-02-03,3.840655
2019-02-04,3.8484504
2019-02-05,3.85805
2019-02-06,3.8681476
2019-02-07,3.8806422
2019-02-08,3.8931057
2019-02-09,3.9060738
2019-02-10,3.9192088
2019-02-11,3.9318426
2019-02-12,3.9441402
2019-02-13,3.9547114
2019-02-14,3.9654417
2019-02-15,3.9739585
2019-02-16,3.9809244
2019-02-17,3.986194
2019-02-18,3.989355
2019-02-19,3.9908805
2019-02-20,3.9897346
2019-02-21,3.9881914
2019-02-22,3.984289
2019-02-23,3.9791098
2019-02-24,3.9729247
2019-02-25,3.9657204
2019-02-26,3.9583385
2019-02-27,3.950069
2019-02-28,3.9434574
2019-03-01,3.9367511
2019-03-02,3.9311705
2019-03-03,3.927047
2019-03-04,3.9243503
2019-03-05,3.923822
2019-03-06,3.9245746
2019-03-07,3.9289029
2019-03-08,3.9347339
2019-03-09,3.9429102
2019-03-10,3.9533372
2019-03-11,3.9655225
2019-03-12,3.9797254
2019-03-13,3.9945688
2019-03-14,4.0118656
2019-03-15,4.0290847
2019-03-16,4.0466495
2019-03-17,4.0640974
2019-03-18,4.0806317
2019-03-19,4.096283
2019-03-20,4.1095285
2019-03-21,4.1221247
2019-03-22,4.1315765
2019-03-23,4.1384363
2019-03-24,4.1424627
2019-03-25,4.143166
2019-03-26,4.140962
2019-03-27,4.1347833
2019-03-28,4.126895
2019-03-29,4.1153564
2019-03-30,4.1012983
2019-03-31,4.085069
2019-04-01,4.066761
2019-04-02,4.0473466
2019-04-03,4.026275
2019-04-04,4.0062714
2019-04-05,3.985782
2019-04-06,3.9662428
2019-04-07,3.9482129
2019-04-08,3.9318938
2019-04-09,3.9182637
2019-04-10,3.9066672
2019-04-11,3.899621
2019-04-12,3.895262
2019-04-13,3.894624
2019-04-14,3.897779
2019-04-15,3.9043736
2019-04-16,3.9147763
2019-04-17,3.927683
2019-04-18,3.9449444
2019-04-19,3.9640288
2019-04-20,3.98532
2019-04-21,4.0082803
2019-04-22,4.031998
2019-04-23,4.056358
2019-04-24,4.079658
2019-04-25,4.1034484
2019-04-26,4.125007
2019-04-27,4.1446404
2019-04-28,4.161851
2019-04-29,4.175886
2019-04-30,4.186902
2019-05-01,4.1935763
2019-05-02,4.197935
2019-05-03,4.1978173
2019-05-04,4.194159
2019-05-05,4.1871433
2019-05-06,4.1767316
2019-05-07,4.1638055
2019-05-08,4.147759
2019-05-09,4.131308
2019-05-10,4.1129303
2019-05-11,4.0941358
2019-05-12,4.0755954
2019-05-13,4.0576625
2019-05-14,4.0414977
2019-05-15,4.0266604
2019-05-16,4.015903
2019-05-17,4.0076175
2019-05-18,4.0031033
2019-05-19,4.002703
2019-05-20,4.0063314
2019-05-21,4.014615
2019-05-22,4.0264935
2019-05-23,4.0440364
2019-05-24,4.0649056
2019-05-25,4.089643
2019-05-26,4.117831
2019-05-27,4.148641
2019-05-28,4.1819916
2019-05-29,4.216174
2019-05-30,4.252685
2019-05-31,4.288707
2019-06-01,4.3244066
2019-06-02,4.3591094
2019-06-03,4.3918505
2019-06-04,4.422544
2019-06-05,4.449601
2019-06-06,4.474764
2019-06-07,4.4955754
2019-06-08,4.5126696
2019-06-09,4.525933
2019-06-10,4.5350375
2019-06-11,4.54059
2019-06-12,4.541734
